fleet_plan_key,vessel_key,voyage_key,sequence
1013798,1038877,1070479,1
1013798,1038877,1050535,2
1013798,1038877,1061928,3
1013798,1038877,1282433,4
1013798,1038877,1063007,5
1013798,1038877,1046167,6
1013798,1038877,1186013,7
1013798,1038877,1396573,8
1013798,1038877,1216351,9
1013798,1038877,1275456,10
1013798,1038877,2732472,11
1013798,1038877,1641798,12
1013798,1041077,1217904,1
1013798,1041077,1381027,2
1013798,1041077,1569121,3
1013798,1041077,1652137,4
1013798,1041077,2152943,5
1013798,1041077,2153539,6
1013798,1041179,1066854,1
1013798,1041179,1054664,2
1013798,1041179,1854438,3
1013798,1041179,1547545,4
1013798,1041179,1571209,5
1013798,1041179,1742611,6
1013798,1041179,3066189,7
1013798,1041179,1946180,8
1013798,1041179,1876884,9
1013798,1041179,1924458,10
1013798,1041179,1927075,11
1013798,1041179,1905214,12
1013798,1041179,2008558,13
1013798,1041179,1922508,14
1013798,1042074,1049467,1
1013798,1042074,1117971,2
1013798,1042074,1397007,3
1013798,1042074,1441884,4
1013798,1042074,1694482,5
1013798,1042150,2808847,1
1013798,1042150,3042702,2
1013798,1042150,2033455,3
1013798,1042784,1840822,1
1013798,1042784,2733212,2
1013798,1042784,2095525,3
1013798,1042784,2639324,4
1013798,1042784,2805526,5
1013798,1042784,3068424,6
1013798,1042784,1219985,7
1013798,1043022,1646701,1
1013798,1043022,1749267,2
1013798,1043022,3113897,3
1013798,1668130,2012008,1
1013798,1668130,2064136,2
1013798,1668130,2662321,3
1013798,1668130,2730005,4
